"Protein","Condition","Points","Pearson","Spearman","Slope","Intercept","P_value","P_adj_BH"
"GPX4","high GPX4",25,-0.120594582577811,-0.274615384615385,-0.391358079540254,0.733663934607148,0.565828936786056,0.754438582381407
"GPX4","low GPX4",212,0.170703258669069,0.108153346440082,0.375839894859683,0.0649552860410239,0.0128074645668821,0.0844238107040855
"GPX4","negligible GPX4",39,-0.0254550489046012,0.0720647773279352,-0.0630045550954893,-0.280019847568707,0.87775209487009,0.91784421192287
"GPX4","high AIFM2",45,0.307412212841922,0.261791831357049,0.405235214244095,0.450514026252996,0.0399572518585692,0.131623888475287
"GPX4","low AIFM2",184,0.0989208763354715,0.145477837067288,0.137025142399603,0.0793987235651522,0.181561426840183,0.363122853680367
"GPX4","negligible AIFM2",41,0.569000944213032,0.54198606271777,0.764953649312995,-0.60446747127682,0.000103639000291029,0.00580378401629761
"GPX4","both low",58,0.0773792534694883,0.197760620135962,0.186438203218811,-0.203061402472692,0.563709002049533,0.754438582381407
"GPX4","all",276,0.139917099521258,0.132058617885019,0.181978988375751,0.0439618483468718,0.0200517612701786,0.102081693739091
"AIFM2","high GPX4",24,-0.0471156517813247,0.0991304347826087,-0.0447235655578885,0.139922545340816,0.826947890459708,0.91784421192287
"AIFM2","low GPX4",209,0.250701268989526,0.243410536831589,0.261901248826968,0.043721619174328,0.00025098451248435,0.0070275663495618
"AIFM2","negligible GPX4",37,0.117420389370304,0.0459933617828355,0.139509181619924,-0.307551231219584,0.488858237789988,0.697987737971172
"AIFM2","high AIFM2",45,0.109203311698155,0.0735177865612648,0.267502214115618,-0.207941035189743,0.475175435070025,0.697987737971172
"AIFM2","low AIFM2",184,0.0889155579421301,0.0652328022962378,0.200792737212168,0.0399083623269853,0.230034966266158,0.402561190965776
"AIFM2","negligible AIFM2",41,0.0654378841277997,-0.060801393728223,0.110759594223183,-0.127299833417934,0.684386167282858,0.851680563729778
"AIFM2","both low",58,0.308894925372731,0.311698298932603,0.559776127147032,0.0672157071568974,0.0183105049831334,0.102081693739091
"AIFM2","all",270,0.166771070898393,0.171666735254713,0.168497668342124,0.0170178149295284,0.00601656537322328,0.0638307147816348
"SLC7A11","high GPX4",24,0.0938770537178977,0.0982608695652174,0.106037692342291,0.141341742217699,0.662607267535286,0.851680563729778
"SLC7A11","low GPX4",196,0.120086873575465,0.101393747659157,0.125400402425116,0.00864737127239366,0.0936334332809091,0.235429170279625
"SLC7A11","negligible GPX4",38,0.338191488069892,0.358354305722727,0.252157760625576,-0.392366091120108,0.0378250925276302,0.131623888475287
"SLC7A11","high AIFM2",44,0.164733162896492,0.0417195207892882,0.151726042972766,0.0817885480948332,0.285258935547986,0.469838246784918
"SLC7A11","low AIFM2",167,0.106968202113276,0.131223783070692,0.10497437556908,0.0341438782315435,0.16885191109344,0.350211371156763
"SLC7A11","negligible AIFM2",41,0.198369286333553,0.220034843205575,0.178620483572424,-0.322038430884397,0.213756502486385,0.402561190965776
"SLC7A11","both low",53,0.266185666353199,0.353652636671505,0.298540426155031,-0.427100202590378,0.0540334589427271,0.151293685039636
"SLC7A11","all",258,0.139501457009648,0.132385510631823,0.134368100569049,-0.0252460597217989,0.0250382100114127,0.107856904664547
"CBS","high GPX4",25,0.25466506061701,0.202307692307692,0.184968424349112,0.162913443261438,0.219253555261639,0.402561190965776
"CBS","low GPX4",212,-0.0644155496108259,-0.155333863144889,-0.0575761876265935,0.0257811335738052,0.350650059535072,0.561040095256115
"CBS","negligible GPX4",39,-0.0433186507250479,-0.0506072874493927,-0.0400319527040716,-0.214539686880214,0.793440109092382,0.91784421192287
"CBS","high AIFM2",45,-0.0466591737026868,-0.0898550724637681,-0.0442158586089868,0.174754801511614,0.760855770030514,0.91784421192287
"CBS","low AIFM2",184,0.0108269738126154,-0.0329352160428426,0.00986503123871786,0.0658581591938036,0.884025877240328,0.91784421192287
"CBS","negligible AIFM2",41,0.248251069905074,0.270383275261324,0.185643897792566,-0.410779197276183,0.117574377309974,0.263366605174341
"CBS","both low",58,0.0295293723484345,0.0258697591436218,0.0322445599781041,-0.303432050991452,0.825838924252039,0.91784421192287
"CBS","all",276,-0.0136630460707596,-0.0795022902070461,-0.011897874186414,0.0165655563423396,0.821226351295238,0.91784421192287
"TST","high GPX4",25,0.0268730588985358,-0.0253846153846154,0.0262106526625267,0.184434787963222,0.898537597897729,0.91784421192287
"TST","low GPX4",212,0.177667409652553,0.145376596519113,0.199870294866273,0.0161685359031431,0.00953536691851714,0.0762829353481372
"TST","negligible GPX4",39,0.326156052993428,0.307692307692308,0.390793629632165,-0.252059917141786,0.0427276388076144,0.132131131527352
