model,Cell Line Name,"ERASTIN (BRD:BRD-A25004090-001-08-4) log2 fold change PRISM Repurposing Public 24Q2"
ACH-000001,NIHOVCAR3,0.514452792496
ACH-000002,HL60,NA
ACH-000004,HEL,NA
ACH-000005,HEL9217,NA
ACH-000006,MONOMAC6,NA
ACH-000007,LS513,0.591737516764
ACH-000008,A101D,0.557320155377
ACH-000011,253J,0.30559865342
ACH-000012,HCC827,-1.40781086876
ACH-000013,ONCODG1,-0.475259587601
ACH-000014,HS294T,0.569814770119
ACH-000015,NCIH1581,0.101161169709
ACH-000018,T24,0.134325436406
ACH-000019,MCF7,0.318445955414
ACH-000021,NCIH1693,-3.02492013802
ACH-000022,PATU8988S,0.0537911407636
ACH-000023,PATU8988T,-0.691730381294
ACH-000025,CH157MN,NA
ACH-000026,253JBV,0.727770359721
ACH-000027,GOS3,0.762520567391
ACH-000030,PC14,0.973658935231
ACH-000035,NCIH1650,0.232238128144
ACH-000036,U343,NA
ACH-000037,S117,-2.01964834512
ACH-000039,SKNMC,NA
ACH-000040,U118MG,-1.42362258425
ACH-000041,RDES,-1.10530425078
ACH-000042,PANC0203,0.869627855215
ACH-000046,ACHN,-1.06618330157
ACH-000047,GCIY,-2.94816742329
ACH-000048,TOV112D,0.857964946981
ACH-000051,TE617T,-0.573345375205
ACH-000052,A673,-0.00369217926003
ACH-000053,KARPAS299,NA
ACH-000054,HT1080,-3.58306901716
ACH-000056,DOHH2,NA
ACH-000059,SUPB15,NA
ACH-000060,PANC1005,1.21542696059
ACH-000061,HH,NA
ACH-000062,RERFLCMS,0.110691133946
ACH-000065,OCIAML5,NA
ACH-000066,HCC4006,-1.30471745284
ACH-000067,HS683,NA
ACH-000069,HS611T,NA
ACH-000070,697,NA
ACH-000072,MEG01,NA
ACH-000073,GRANTA519,NA
ACH-000074,KU812,NA
ACH-000075,U87MG,-1.63111534509
ACH-000076,NCO2,NA
ACH-000078,MHHNB11,-0.650535531346
ACH-000080,BDCM,NA
ACH-000082,G292CLONEA141B1,0.357397657252
ACH-000085,T3M4,1.36047102966
ACH-000086,ACCMESO1,0.172247379451
ACH-000087,SKES1,0.504436167308
ACH-000090,PC3,-0.735851173187
ACH-000091,OV56,0.797636994904
ACH-000092,NCIH2452,1.16483684218
ACH-000093,PANC0504,NA
ACH-000094,HPAFII,NA
ACH-000096,G401,-0.0452598821749
ACH-000097,ZR751,0.21179101386
ACH-000098,GAMG,-0.0924283610144
ACH-000099,SIMA,0.246381065459
ACH-000101,KE37,NA
ACH-000102,GMS10,-1.54595275395
ACH-000105,ALLSIL,NA
ACH-000107,CAPAN2,-0.540689871285
ACH-000108,KP3,-0.0845593115805
ACH-000113,OCIAML2,NA
ACH-000114,SU8686,0.88788458746
ACH-000116,OAW28,1.15938570923
ACH-000117,EFM192A,0.441384745736
ACH-000118,HUPT3,-0.53512310485
ACH-000120,CHP212,-0.590914135065
ACH-000122,SUPT11,NA
ACH-000123,COV434,-1.08479659028
ACH-000124,OCILY19,NA
ACH-000129,NCIH1341,NA
ACH-000132,JHOS2,-0.767106902211
ACH-000133,HS729,-2.21570905004
ACH-000137,8MGBA,0.106572088089
ACH-000138,CFPAC1,0.850345937001
ACH-000139,PANC0327,-0.236224512575
ACH-000141,SNU308,0.590940104198
ACH-000142,CAL29,0.841805701371
ACH-000144,RERFGC1B,NA
ACH-000145,SKLMS1,NA
ACH-000146,THP1,NA
ACH-000147,T47D,0.0156982639785
ACH-000149,SKNSH,-0.232632179345
ACH-000151,JM1,NA
ACH-000152,M059K,NA
ACH-000153,NCIH2052,-0.334175830297
ACH-000155,SW1990,-0.788448183719
ACH-000158,OCILY3,NA
ACH-000159,OSRC2,-1.42947562534
ACH-000160,BT12,NA
ACH-000161,CORL105,-0.520312021805
ACH-000163,SW579,1.06188518506
ACH-000164,PANC1,-3.28635997178
ACH-000167,KE97,NA
ACH-000168,NOMO1,NA
ACH-000169,RD,-2.2220937724
ACH-000171,VMRCRCZ,0.25364133398
ACH-000172,TM87,-0.00268310912647
ACH-000174,CAL62,0.455067276921
ACH-000176,LOUNH91,-1.77942127242
ACH-000178,HS766T,0.473395307201
ACH-000181,SCC9,NA
ACH-000182,SNU869,-0.438041457935
ACH-000183,L363,NA
ACH-000186,NCIH2444,-3.40994186366
ACH-000188,SCC25,0.128501586408
ACH-000189,RCC10RGB,-2.02994131606
ACH-000190,HDMYZ,NA
ACH-000191,BHT101,0.172586579805
ACH-000192,MFE280,0.604409495355
ACH-000193,KARPAS620,NA
ACH-000197,TALL1,NA
ACH-000198,EOL1,NA
ACH-000200,NMCG1,-1.09251827931
ACH-000201,A204,0.411352811237
ACH-000202,COLO320,NA
ACH-000204,LP1,NA
ACH-000205,PK59,-0.154796991828
ACH-000206,C8166,NA
ACH-000207,DETROIT562,0.48008318357
ACH-000208,U178,NA
ACH-000209,SNU1079,-1.03886197659
ACH-000210,CADOES1,-0.087170598868
ACH-000211,DAOY,-1.29791105039
ACH-000212,CAL120,1.01773080577
ACH-000213,HUPT4,0.5965163464
ACH-000215,LN382,NA
ACH-000217,JHH6,2.1598080483
ACH-000218,PL21,NA
ACH-000219,A375,0.418917986531
ACH-000221,SNU398,0.673074186744
ACH-000222,ASPC1,-0.231624139133
ACH-000223,HCC1937,-0.945372784183
ACH-000227,KPNYN,NA
ACH-000228,BICR31,0.931290687101
ACH-000231,KALS1,-0.357966841857
ACH-000232,U251MG,0.395235577505
ACH-000233,DEL,NA
ACH-000234,CAKI2,0.420604657583
ACH-000235,PANC0403,0.232161568493
ACH-000237,JHOM1,0.715227914058
ACH-000239,HUG1N,NA
ACH-000242,RT4,0.131101701821
ACH-000243,DANG,0.0488771827889
ACH-000244,DKMG,-0.18246082479
ACH-000248,AU565,NA
ACH-000249,CL11,-1.20193731927
ACH-000250,KMRC20,-0.51999037335
ACH-000252,LS1034,1.64836251019
ACH-000255,LMSU,0.0556032863899
